Si_core,O,SiO2,MgO,Al2O3,CaO,FeO,TiO2,Cr2O3,Na2O,K2O
0.0,0.0009426229079965614,65.32025928209995,29.140032615005918,2.3156564519124916,1.2866809488326902,0.3888090717350179,0.015144107008548171,0.17143142217776008,1.2633269948937325,0.09771648342588471
0.0634135024360064,0.0009437866296862238,65.23533640470941,29.2113982515056,2.321327614040657,1.2898314252262713,0.3897537234121579,0.015181064128226942,0.17185101284700174,1.2664209423337454,0.09795577516725157
0.12674663039446005,0.0009449560654504758,65.14999654131604,29.28311430561259,2.3270266225548597,1.2929973710033522,0.39070301349227005,0.015218202713749589,0.17227266377893535,1.2695300815903283,0.09819624187241856
0.18999953658649626,0.0009461312574785358,65.06423661315124,29.355183364595383,2.3327536830557163,1.296178900380364,0.3916569762224743,0.015255524104948499,0.17269639018527572,1.2726545248305279,0.09843789221659707
0.2531723733366267,0.0009473122483759794,64.97805351106257,29.42760804125568,2.338509003172877,1.2993761287009162,0.3926156461878684,0.015293029654878583,0.17312220742785916,1.2757943853283449,0.09868073496061228
0.3162652925839645,0.0009484990811698885,64.89144409513817,29.500390974244223,2.344292792590117,1.3025891724497378,0.39357905831570805,0.015330720729980835,0.1735501310204998,1.2789497774784244,0.09892477895196228
0.37927844588344134,0.0009496917993140761,64.80440519432528,29.57353482838115,2.3501052630707995,1.3058181492668222,0.3945472478796481,0.015368598710248238,0.17398017663087373,1.2821208168099472,0.09917003312589216
0.4422119844070198,0.0009508904466943906,64.71693360604334,29.647042294981357,2.355946628483723,1.3090631779617865,0.39552025050404865,0.015406664989394211,0.1744123600824313,1.2853076200007318,0.09941650650648493
0.5050660589449045,0.0009520950676340967,64.62902609579108,29.720916092184467,2.3618171048293513,1.3123243785284435,0.39649810216834264,0.015444920975023554,0.17484669735633782,1.288510304891542,0.09966420820776792
0.5678408199067447,0.0009533057068993424,64.5406793967479,29.795158965289975,2.3677169102664415,1.3156018721595912,0.3974808392114729,0.015483368088805944,0.1752832045934435,1.2917289905006173,0.09991314743483662
0.6305364173228345,0.0009545224097046998,64.45189020936924,29.86977368709724,2.3736462651390626,1.3188957812620272,0.39846849833639214,0.015522007766652048,0.1757218980962827,1.29496379703841,0.10016333348499462
0.6931530008453085,0.000955745221718797,64.36265520097557,29.94476305825077,2.379605392004032,1.3222062294717862,0.3994611166146326,0.015560841458892284,0.17616279433110377,1.298214845922556,0.1004147757489113
0.7556907197493318,0.0009569741890700332,64.27297100533578,30.020129907590594,2.385594515658763,1.3255333416696116,0.40045873149094546,0.015599870630458293,0.1766059099299294,1.301482259793065,0.10066748371179675
0.8181497229342869,0.000958209358352375,64.18283422224349,30.095877092507923,2.391613863169526,1.3288772439966556,0.4014613807880075,0.015639096761067138,0.17705126169264745,1.3047661625277405,0.10092146695459439
0.8805301589249557,0.0009594507766312497,64.09224141708762,30.172007499306392,2.3976636639001527,1.3322380638704245,0.402469102711203,0.015678521345408338,0.17749886658913505,1.3080666792578386,0.10117673515519197
0.9428321758726947,0.0009606984914495197,64.00118912041603,30.24852404356858,2.403744149541163,1.3356159300009602,0.40348193585347525,0.01571814589333367,0.17794874176141312,1.3113839363839581,0.10143329808965072
1.0050559215566108,0.0009619525508335547,63.90967382749253,30.325429670528226,2.4098555541393467,1.3390109724072734,0.404499919200254,0.015757971930049977,0.1784009045258354,1.3147180615921805,0.10169116563345337
1.0672015433847284,0.0009632130032993917,63.81769199784739,30.402727355448178,2.415998114127793,1.342423322434024,0.40552309213445736,0.01579800099631483,0.1788553723753099,1.3180691838704506,0.10195034776277138
1.1292691883951522,0.0009644798978589932,63.72524005482055,30.480420104004015,2.4221720683563803,1.3458531127684614,0.40655149444157074,0.015838234648635208,0.17931216298155517,1.3214374335252128,0.10221085455575131
1.1912590032572292,0.0009657532840265986,63.63231438509814,30.558510952673696,2.4283776581227356,1.3493004774576227,0.40758516631480374,0.01587867445946931,0.17977129419739046,1.324822942198299,0.10247269619382132
1.2531711342727019,0.0009670332118251768,63.53891133824169,30.637002969133103,2.4346151272036702,1.352765551925795,0.40862414836032657,0.015919322017431344,0.1802327840590618,1.328225842884081,0.1027358829630173
1.3150057273768614,0.000968319731792975,63.44502722621015,30.715899252657792,2.4408847218871053,1.3562484729922517,0.4096684816025874,0.015960178927499617,0.180696650788604,1.3316462699468852,0.10300042525533029
1.376762928139691,0.0009696128949901707,63.35065832287443,30.795202934530895,2.447186691004482,1.3597493788892572,0.4107182074897116,0.016001246811227735,0.18116291279623872,1.3350843591386778,0.1032663335700737
1.4384428817670118,0.0009709127530056283,63.25580086352448,30.874917178457412,2.453521285963688,1.3632684092803582,0.41177336789898594,0.016042527306959153,0.18163158868280996,1.3385402476170225,0.1035336185152728
1.5000457331016186,0.0009722193579637579,63.160451044368585,30.95504518098488,2.459888760782489,1.3668057052789542,0.41283400514242724,0.016084022070045056,0.18210269724225867,1.3420140739633248,0.10380229080907534
1.561571626624415,0.0009735327625314836,63.06460502202494,31.03559017193071,2.466289372122479,1.3703614094671615,0.41390016197243795,0.016125732773065598,0.18257625746413336,1.3455059782013516,0.10407236128118402
1.6230207064555418,0.0009748530199253199,62.9682589130053,31.116555414816105,2.472723379323571,1.3739356659149708,0.41497188158755116,0.016167661106054682,0.18305228853614308,1.3490161018160474,0.10434384087431177
1.6843931163555028,0.0009761801839185598,62.871408793190376,31.197944207306925,2.4791910444390246,1.3775286201997061,0.4160492076382645,0.016209808776728195,0.18353080984674813,1.352544587772644,0.1046167406456599
