coreSi,mgsi,P,T,g,opx,cpx,coe,qfm,ol
0.0,0.6650190010187977,50.0,1000.0000000000001,0.010448762179036826,0.7224643737348291,0.11669804204938816,0.15038882203674603,0.0,0.0
0.0634135024360064,0.667515508268915,50.0,1000.0000000000001,0.010473743650197717,0.7242145224076059,0.11700234910931019,0.14830938483288625,0.0,0.0
0.12674663039446005,0.6700308301988541,50.0,1000.0000000000001,0.010499892556284337,0.7260248440112478,0.11725587353297895,0.1462193898994889,0.0,0.0
0.1899995365864963,0.672565180305573,50.0,1000.0000000000001,0.01052528646765974,0.7277455543652296,0.11761249272482147,0.1441166664422893,0.0,0.0
0.2531723733366267,0.6751187753284633,50.0,1000.0000000000001,0.010551820989053905,0.7295990516100687,0.11784332602440045,0.142005801376477,0.0,0.0
0.3162652925839645,0.67769183531114,50.0,1000.0000000000001,0.01057740894825114,0.7313968998757172,0.11814143043100933,0.13988426074502236,0.0,0.0
0.37927844588344134,0.6802845836646474,50.0,1000.0000000000001,0.010603887931837936,0.7332230794173269,0.11842177097296745,0.13775126167786772,0.0,0.0
0.4422119844070199,0.6828972472321256,50.0,1000.0000000000001,0.010630286070984476,0.7350102971680194,0.11875110447925026,0.13560831228174602,0.0,0.0
0.5050660589449045,0.6855300563549687,50.0,1000.0000000000001,0.010656884230269864,0.7368848976189898,0.11900311857852848,0.13345509957221185,0.0,0.0
0.5678408199067448,0.6881832449405215,50.0,1000.0000000000001,0.010683031690029283,0.7386935745698349,0.11933320498412314,0.13129018875601278,0.0,0.0
0.6305364173228345,0.6908570505313538,50.0,1000.0000000000001,0.010709947088870927,0.7405416304941217,0.11963355165514826,0.129114870761859,0.0,0.0
0.6931530008453085,0.6935517143761569,50.0,1000.0000000000001,0.010736954303875723,0.7424043273422596,0.11993068833402132,0.12692803001984343,0.0,0.0
0.7556907197493318,0.6962674815023037,50.0,1000.0000000000001,0.010764049397095278,0.7442999598358788,0.12020480355374574,0.12473118721328016,0.0,0.0
0.8181497229342869,0.6990046007901214,50.0,1000.0000000000001,0.010791300141721123,0.7461616391346976,0.12052464964785718,0.12252241107572404,0.0,0.0
0.8805301589249557,0.7017633250489249,50.0,1000.0000000000001,0.010818388933549977,0.7480310514167108,0.12084769911851405,0.12030286053122523,0.0,0.0
0.9428321758726947,0.7045439110948536,50.0,1000.0000000000001,0.010845483490064731,0.749929707475879,0.12115184531834686,0.11807296371570938,0.0,0.0
1.0050559215566108,0.7073466198305701,50.0,1000.0000000000001,0.010873061499595174,0.7518445548344904,0.12145188259537018,0.11583050107054424,0.0,0.0
1.0672015433847284,0.7101717163268657,50.0,1000.0000000000001,0.010901269245655378,0.7537880927367796,0.12173296625196481,0.1135776717656003,0.0,0.0
1.1292691883951522,0.7130194699062319,50.0,1000.0000000000001,0.010928048077977433,0.7556389363500661,0.12212159671811075,0.11131141885384585,0.0,0.0
1.1912590032572292,0.7158901542284491,50.0,1000.0000000000001,0.010956886108711402,0.7575854842098488,0.12242210271169757,0.10903552696974225,0.0,0.0
1.2531711342727019,0.7187840473782512,50.0,1000.0000000000001,0.010984136738941568,0.7594866000543244,0.12278245079799736,0.1067468124087366,0.0,0.0
1.3150057273768614,0.7217014319551251,50.0,1000.0000000000001,0.011012480323307823,0.7614894565632359,0.12305118013847399,0.10444688297498243,0.0,0.0
1.3767629281396911,0.7246425951653084,50.0,1000.0000000000001,0.01104140556744145,0.7634535616970689,0.12337036351715286,0.10213466921833675,0.0,0.0
1.4384428817670118,0.7276078289160407,50.0,1000.0000000000001,0.01107013815612948,0.7654579580530273,0.123661357817499,0.09981054597334432,0.0,0.0
1.5000457331016188,0.7305974299121438,50.0,1000.0000000000001,0.01109851492426177,0.7674154694906192,0.12401131133254423,0.09747470425257493,0.0,0.0
1.561571626624415,0.7336116997549906,50.0,1000.0000000000001,0.011127533518731882,0.7694564799836977,0.12428904114810804,0.09512694534946241,0.0,0.0
1.623020706455542,0.7366509450439311,50.0,1000.0000000000001,0.011156922191780678,0.7714210483696008,0.1246565374182842,0.09276549202033439,0.0,0.0
1.6843931163555028,0.739715477480257,50.0,1000.0000000000001,0.011186048106488706,0.7735139943180217,0.12490610051664862,0.09039385705884101,0.0,0.0
1.7456889997262857,0.7428056139737643,50.0,1000.0000000000001,0.01121545071846567,0.7755510731189006,0.12522484393359437,0.08800863222903939,0.0,0.0
1.8069084996124796,0.7459216767520052,50.0,1000.0000000000001,0.01124475034820222,0.777534295073721,0.12561101008863468,0.08560994448944212,0.0,0.0
1.8680517587023877,0.7490639934722948,50.0,1000.0000000000001,0.01127439710497015,0.7795754248871603,0.12595080769060546,0.08319937031726413,0.0,0.0
1.929118919329134,0.7522328973365658,50.0,1000.0000000000001,0.011304153128005262,0.7816411619927714,0.12627739550636596,0.08077728937285736,0.0,0.0
1.9901101234717713,0.7554287272091503,50.0,1000.0000000000001,0.011333592144103524,0.783705666374776,0.12662010485832761,0.07834063662279289,0.0,0.0
2.051025512756378,0.7586518277375749,50.0,1000.0000000000001,0.011363896186259874,0.7857616687097695,0.12698295871213713,0.07589147639183363,0.0,0.0
2.1118652284571566,0.7619025494764601,50.0,1000.0000000000001,0.011394155425981581,0.7878677372979916,0.12730848592134716,0.07342962135467962,0.0,0.0
2.1726294114975238,0.7651812490146246,50.0,1000.0000000000001,0.011425372475142026,0.7900528364305017,0.12756730203890984,0.07095448905544656,0.0,0.0
2.233318202451202,0.7684882891054797,50.0,1000.0000000000001,0.011455622144752202,0.7921065120896048,0.12797203389382086,0.06846583187182222,0.0,0.0
