coreSi,mgsi,P,T,cpx,g,opx,coe,qfm,ol
0.0,0.7585974790154589,50.0,1000.0000000000001,0.12690840413650314,0.011364251827724096,0.7857947609186251,0.07593258311714762,0.0,0.0
0.05269288685440935,0.7613526869403994,50.0,1000.0000000000001,0.1272610503977991,0.01138931045881295,0.7875047850691711,0.07384485407421683,0.0,0.0
0.10533027214769249,0.7641279815913545,50.0,1000.0000000000001,0.12755089168248465,0.011414779794125501,0.7892850767496566,0.0717492517737332,0.0,0.0
0.15791224352360975,0.7669235834341023,50.0,1000.0000000000001,0.1277589153055298,0.011441696202379309,0.7911569298501623,0.06964245864192864,0.0,0.0
0.21043888844148498,0.769739716172623,50.0,1000.0000000000001,0.128035643175463,0.01146738881221187,0.7929706925042357,0.06752627550808937,0.0,0.0
0.26291029417669026,0.7725766068087687,50.0,1000.0000000000001,0.1284030245830126,0.011493232905134437,0.794703263066786,0.06540047944506708,0.0,0.0
0.31532654782112957,0.775434485703263,50.0,1000.0000000000001,0.128705863760125,0.011519263977855878,0.796509322873909,0.0632655493881102,0.0,0.0
0.36768773628372037,0.7783135866380534,50.0,1000.0000000000001,0.1290211241988667,0.011544929665037087,0.798313330559064,0.06112061557703235,0.0,0.0
0.41999394629087383,0.7812141468800649,50.0,1000.0000000000001,0.1292514286605753,0.011571850671640977,0.8002112282498485,0.05896549241793513,0.0,0.0
0.47224526438697423,0.7841364072463782,50.0,1000.0000000000001,0.12959930798289865,0.011598659476742356,0.802001311608866,0.056800720931493055,0.0,0.0
0.5244417769348557,0.787080612170881,50.0,1000.0000000000001,0.12987478586257012,0.011625276949468416,0.8038738614271005,0.054626075760861,0.0,0.0
0.5765835701162779,0.7900470097724229,50.0,1000.0000000000001,0.13017469880336766,0.011652133671859851,0.8057319561068566,0.052441211417916016,0.0,0.0
0.6286707299324015,0.7930358519245185,50.0,1000.0000000000001,0.13045770122428657,0.011679432474218574,0.8076165502935749,0.05024631600792007,0.0,0.0
0.6807033422042591,0.796047394326643,50.0,1000.0000000000001,0.13074106972332064,0.011706878032195589,0.8095113131392587,0.04804073910522505,0.0,0.0
0.7326814925732285,0.7990818965771482,50.0,1000.0000000000001,0.13112884779931375,0.011732653299088278,0.8113129819951586,0.04582551690643939,0.0,0.0
0.784605266501501,0.8021396222478642,50.0,1000.0000000000001,0.13138931452585828,0.011761116434753242,0.81324985153248,0.04359971750690866,0.0,0.0
0.8364747492725512,0.8052208389604123,50.0,1000.0000000000001,0.13170770022882142,0.011788942297529385,0.8151398956988839,0.04136346177476533,0.0,0.0
0.8882900259916031,0.8083258184642893,50.0,1000.0000000000001,0.13197475486556848,0.011816215939155213,0.8170919318835539,0.03911709731172255,0.0,0.0
0.9400511815860944,0.8114548367167591,50.0,1000.0000000000001,0.13233789699476936,0.011844131949100488,0.8189582930946963,0.03685967796143384,0.0,0.0
0.9917583008061438,0.8146081739646123,50.0,1000.0000000000001,0.13267700809892854,0.011871378022427295,0.8208596663844212,0.034591947494223056,0.0,0.0
1.0434114682250102,0.8177861148278388,50.0,1000.0000000000001,0.1328817483947916,0.011900236931000745,0.8229047515334161,0.03231326314079156,0.0,0.0
1.0950107682395547,0.8209889483852628,50.0,1000.0000000000001,0.13330102957113651,0.011927538481521522,0.8247476860144182,0.03002374593292395,0.0,0.0
1.1465562850707027,0.8242169682622031,50.0,1000.0000000000001,0.13356840014036545,0.011956173746404576,0.8267516341034278,0.027723792009802253,0.0,0.0
1.1980481027638978,0.8274704727202072,50.0,1000.0000000000001,0.13387174527252013,0.011984651144791674,0.8287309771690338,0.0254126264136545,0.0,0.0
1.2494863051895624,0.8307497647489178,50.0,1000.0000000000001,0.13424984545658247,0.012012845744428322,0.8306468566400009,0.023090452158988303,0.0,0.0
1.3008709760435502,0.8340551521601355,50.0,1000.0000000000001,0.13453802249405603,0.01204186066644038,0.8326629073685996,0.02075720947090409,0.0,0.0
1.3522021988476032,0.8373869476841319,50.0,1000.0000000000001,0.13486731994592463,0.012070531277501894,0.8346493323960064,0.018412816380567167,0.0,0.0
1.403480056949801,0.8407454690682865,50.0,1000.0000000000001,0.13516629335828137,0.012099503947683705,0.8366770126717115,0.01605719002232353,0.0,0.0
1.4547046335250138,0.8441310391780996,50.0,1000.0000000000001,0.13547611426396905,0.01212892237174244,0.8387048189884387,0.013690144375849674,0.0,0.0
1.5058760115753527,0.8475439861006618,50.0,1000.0000000000001,0.13592873568638014,0.012156610511026709,0.8406029590750731,0.011311694727520062,0.0,0.0
1.5569942739306157,0.8509846432506396,50.0,1000.0000000000001,0.13608841971715221,0.012188202444815013,0.8428015729327321,0.008921804905300664,0.0,0.0
1.608059503248737,0.854453349478856,50.0,1000.0000000000001,0.13642355547761803,0.012217132457199126,0.8448389627332228,0.006520349331960109,0.0,0.0
1.6590717820162306,0.8579504491835344,50.0,1000.0000000000001,0.13681717830681145,0.012246938694595571,0.8468287109669725,0.004107172031620274,0.0,0.0
1.7100311925486362,0.8614762924242891,50.0,1000.0000000000001,0.13718127548670264,0.0122758182709174,0.8488606552583562,0.0016822509840237082,0.0,0.0
1.7609378169909609,0.8650312350389346,50.0,1000.0000000000001,0.137352268783642,0.012527294132068618,0.848500734755591,0.0,0.0,0.0016197023286984359
1.8117917373181196,0.8686156387632025,50.0,1000.0000000000001,0.1384311238735336,0.012561699116345143,0.8416287438186077,0.0,0.0,0.007378433191513448
1.8625930353353781,0.8722298713534443,50.0,1000.0000000000001,0.1395345298405166,0.012595117839510912,0.8347052129954058,0.0,0.0,0.013165139324566763
